	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PLCH1-AS1	0.338702652	-0.2661189	0.854009513	-0.311611166	0.755336047	NA
RPL9P5	0.073857395	-0.326741485	2.963396966	-0.110259101	0.912203892	NA
POM121L7P	0	NA	NA	NA	NA	NA
LINC01210	0.085813166	0.457872979	2.932275962	0.156149348	0.875915301	NA
FLYWCH1P1	0.02595094	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5068	0.047792339	-0.487038803	2.963396966	-0.164351523	0.869454424	NA
CADM2-AS1	0.048897121	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RPL32P34	0.046387456	0.137278438	2.963396966	0.046324687	0.963051463	NA
RPL30P5	0	NA	NA	NA	NA	NA
RPS23P7	0	NA	NA	NA	NA	NA
RPS14P8	0.552039267	-0.014627556	0.787865663	-0.018566054	0.985187283	NA
0.5069	0.279256216	0.010718399	1.054961444	0.010159992	0.991893639	NA
GOLGA2P2Y	0	NA	NA	NA	NA	NA
HMGN1P20	0.016361026	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RN7SL399P	0.024940685	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.507	0.021534105	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL822P	0	NA	NA	NA	NA	NA
RN7SL843P	0	NA	NA	NA	NA	NA
RN7SL12P	0.02636308	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RN7SL841P	0	NA	NA	NA	NA	NA
RN7SL479P	0	NA	NA	NA	NA	NA
0.5072	0	NA	NA	NA	NA	NA
SETP11	0	NA	NA	NA	NA	NA
0.5073	0.096706744	-0.014583614	2.851958295	-0.005113544	0.99592	NA
COX6CP14	0.03789513	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
RN7SL388P	0.086965541	-0.166444464	2.924796415	-0.056908051	0.954618441	NA
RN7SL325P	0	NA	NA	NA	NA	NA
RN7SL675P	0	NA	NA	NA	NA	NA
MTND1P16	0	NA	NA	NA	NA	NA
0.5074	0.031178838	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
LINC00879	0	NA	NA	NA	NA	NA
OR1J4	0.172212731	0.633783981	1.85136403	0.342333528	0.732099906	NA
0.5075	0.316130576	0.702687403	1.104462665	0.636225583	0.524629401	NA
RN7SL79P	0	NA	NA	NA	NA	NA
0.5076	0	NA	NA	NA	NA	NA
RPL35AP16	0.107461142	0.145713677	2.816312691	0.051739168	0.958736527	NA
RN7SL573P	0	NA	NA	NA	NA	NA
RUVBL1-AS1	0.166930856	0.002283935	1.848468626	0.001235582	0.999014148	NA
0.5077	0.028156067	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RPL32P27	0.115697976	-0.318310694	2.281371557	-0.13952602	0.889034496	NA
PRR20G	0.066381179	0.297575756	2.963396966	0.100417109	0.920013187	NA
0.5078	0	NA	NA	NA	NA	NA
RN7SL241P	0	NA	NA	NA	NA	NA
RPSAP41	0	NA	NA	NA	NA	NA
RPL12P20	0	NA	NA	NA	NA	NA
0.5079	0.018633711	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
MTND4LP3	0	NA	NA	NA	NA	NA
RN7SL62P	0	NA	NA	NA	NA	NA
PLS1-AS1	0.283152215	0.022919306	0.92115454	0.024881065	0.980149831	NA
MEIKIN	0.087551583	0.457871414	2.36394867	0.193689237	0.84641922	NA
MTND1P3	0.112576541	-0.63047064	2.291478733	-0.275137024	0.783210968	NA
MYADML	0.028156067	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
GUSBP4	0.094728743	-0.166448527	2.334528297	-0.071298569	0.943160134	NA
RPL9P31	0	NA	NA	NA	NA	NA
0.508	0	NA	NA	NA	NA	NA
0.5082	0.403927449	-1.133123611	1.006394782	-1.125923575	0.26019787	NA
0.5083	0.028621941	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
0.5084	0.050147546	0.137278438	2.963396966	0.046324687	0.963051463	NA
PDZRN3-AS1	0.487692204	-1.310236504	0.830194655	-1.578228064	0.114513225	NA
RN7SL193P	0	NA	NA	NA	NA	NA
0.5085	0	NA	NA	NA	NA	NA
PTGER4P3	0	NA	NA	NA	NA	NA
0.5086	0.139970241	-0.470176823	1.596252352	-0.294550434	0.768337331	NA
RPL17P46	0	NA	NA	NA	NA	NA
RN7SL668P	0.023207355	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RPSAP38	0	NA	NA	NA	NA	NA
0.5087	0.06658156	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
HNRNPA3P8	0	NA	NA	NA	NA	NA
0.5088	0.110557386	0.145711173	2.278987432	0.063936804	0.949020547	NA
RN7SL507P	0	NA	NA	NA	NA	NA
RN7SL568P	0	NA	NA	NA	NA	NA
0.5089	0.313307767	0.356385862	1.422069554	0.250610711	0.8021151	NA
0.509	0.024940685	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL782P	0	NA	NA	NA	NA	NA
RN7SL692P	0.017824758	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5091	0.084081601	-0.326741832	2.925388104	-0.111691789	0.91106779	NA
0.5092	0	NA	NA	NA	NA	NA
HLTF-AS1	0	NA	NA	NA	NA	NA
0.5093	0.478581188	0.379606512	0.85549997	0.443724753	0.657241597	NA
IMP3P2	0	NA	NA	NA	NA	NA
RN7SL688P	0.024306342	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RN7SL825P	0.017824758	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
TLR9	0.329841518	-1.185930961	1.002756672	-1.182670727	0.23693967	NA
CEACAMP3	0.179242742	-0.940063446	1.567002209	-0.599912011	0.548564877	NA
0.5094	0	NA	NA	NA	NA	NA
RN7SL672P	0.025099927	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL63P	0	NA	NA	NA	NA	NA
RN7SL790P	0	NA	NA	NA	NA	NA
RN7SL795P	0.024940685	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5096	0	NA	NA	NA	NA	NA
0.5097	0.080789658	0.297575756	2.963396966	0.100417109	0.920013187	NA
0.5098	0	NA	NA	NA	NA	NA
RPLP0P11	0.147425026	-0.478609655	2.179446971	-0.219601422	0.826181584	NA
0.5099	0.068677958	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
0.51	0.437174446	0.799386108	0.858251429	0.931412498	0.351640228	NA
CDRT15P5	0	NA	NA	NA	NA	NA
0.5101	0.018633711	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RN7SL653P	0.024306342	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RPL21P39	0.390286242	0.034850271	0.832584679	0.041857929	0.966611954	NA
ITIH4-AS1	0.343331629	-1.760809117	1.43197249	-1.229638928	0.218832346	NA
DENND6A-AS1	0.091839186	-0.166448457	2.346026857	-0.070949084	0.943438278	NA
0.5102	0.252979059	0.148496971	1.226593078	0.121064576	0.903639887	NA
0.5103	0	NA	NA	NA	NA	NA
RN7SL255P	0.078769487	0.297575743	2.960442526	0.100517318	0.919933635	NA
0.5104	0	NA	NA	NA	NA	NA
PRAMEF11	0	NA	NA	NA	NA	NA
RN7SL213P	0.049948247	0.137278438	2.963396966	0.046324687	0.963051463	NA
RN7SL513P	0.220185337	0.330070937	1.860759004	0.177385108	0.859205904	NA
RN7SL754P	0.034530874	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
Y_RNA.652	0.034534455	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RN7SL549P	0.019573344	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5105	0.64253365	-0.244672191	0.705338968	-0.346885969	0.728676988	NA
KRT8P25	0	NA	NA	NA	NA	NA
RPS4XP22	0.159873031	-0.630474246	1.818558421	-0.346689025	0.728824956	NA
RNF7P1	0.059945001	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
0.5106	0	NA	NA	NA	NA	NA
DEFA3	0	NA	NA	NA	NA	NA
RPL23AP72	0.068355193	-0.487038803	2.963396966	-0.164351523	0.869454424	NA
RN7SL225P	0.082343809	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
0.5107	0	NA	NA	NA	NA	NA
IGKV1-37	0.282581819	-1.47031281	1.195521115	-1.229850976	0.218752915	NA
RN7SL34P	0.256337932	0.327801631	1.065471726	0.307658686	0.75834206	NA
0.5108	0	NA	NA	NA	NA	NA
RPL35AP19	0	NA	NA	NA	NA	NA
GAPDHP27	0.105481582	-0.014583903	2.807893782	-0.005193894	0.995855891	NA
IGSF11-AS1	0	NA	NA	NA	NA	NA
RALBP1P1	0	NA	NA	NA	NA	NA
RPS27P25	0.208827211	-0.149578281	1.824678153	-0.081975159	0.934666468	NA
RN7SL608P	0.942227213	-0.226493417	0.759712955	-0.298130255	0.765603751	NA
KRTAP9-2	0	NA	NA	NA	NA	NA
RN7SL792P	0.046134383	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
RN7SL674P	0.216568742	0.480948402	1.351870264	0.355765205	0.722016409	NA
0.5109	0.023207355	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RN7SL75P	0.693873058	0.720795981	0.740177234	0.973815389	0.330148211	NA
RN7SL530P	0.027747988	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RPL39P36	1.090228713	0.134184709	0.564326422	0.237778534	0.812052869	NA
RPS10P16	0.291666602	-0.132954383	0.935074282	-0.142185905	0.886933165	NA
SNRPGP3	0	NA	NA	NA	NA	NA
LINC01471	0.045215249	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
0.5111	0.04832682	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
RN7SL864P	0.025099927	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RPL29P22	0	NA	NA	NA	NA	NA
PRDX3P4	0.048897121	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5112	0.0772084	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
RN7SL606P	0.048897121	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RPSAP34	0	NA	NA	NA	NA	NA
0.5113	0.365440745	0.506004081	1.002646664	0.504668394	0.613791764	NA
RN7SL394P	0.029967582	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
TRBV8-2	0.106013096	-0.790768789	2.294201148	-0.344681542	0.730333796	NA
0.5114	0	NA	NA	NA	NA	NA
ZBTB20-AS3	0.029517696	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL368P	0.630534392	-0.015669547	0.81500645	-0.019226286	0.984660588	NA
RN7SL273P	0.06282504	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
RN7SL51P	0	NA	NA	NA	NA	NA
ENPP7P2	0.420934733	-0.890776353	0.804225754	-1.107619781	0.268026057	NA
RN7SL748P	0.162663272	-0.928415277	1.374946156	-0.675237552	0.499524852	NA
OR2A41P	0	NA	NA	NA	NA	NA
0.5115	0.402587672	-0.251172798	0.971412766	-0.25856444	0.795971323	NA
OR7E53P	0	NA	NA	NA	NA	NA
OR2A15P	0.028621941	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
0.5116	0.050426723	0.137278438	2.963396966	0.046324687	0.963051463	NA
RN7SL420P	0	NA	NA	NA	NA	NA
0.5117	0	NA	NA	NA	NA	NA
0.5118	0	NA	NA	NA	NA	NA
RPL31P60	0	NA	NA	NA	NA	NA
0.5119	0	NA	NA	NA	NA	NA
0.512	0	NA	NA	NA	NA	NA
TRBVA	0.034530874	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5121	0.028621941	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
TPT1P11	0	NA	NA	NA	NA	NA
FCF1P3	0	NA	NA	NA	NA	NA
YBX1P3	0.037959619	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RPL7P24	0.254630827	-0.301442856	1.190739531	-0.253156	0.800147666	NA
LINC02004	0.171718079	-0.94263208	2.148623175	-0.438714471	0.66086844	NA
SLC9A9-AS1	0	NA	NA	NA	NA	NA
RN7SL254P	0	NA	NA	NA	NA	NA
0.5122	0.070999694	-0.326741485	2.963396966	-0.110259101	0.912203892	NA
TEX35	0.380640424	-1.158554509	0.892182377	-1.298562423	0.194094141	NA
0.5123	0.155140402	-0.470176932	1.575002976	-0.298524472	0.765302901	NA
0.5124	0	NA	NA	NA	NA	NA
OR9A3P	0.037108995	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
0.5125	0	NA	NA	NA	NA	NA
MTND6P6	0	NA	NA	NA	NA	NA
0.5127	0	NA	NA	NA	NA	NA
RPS27P26	0.050869413	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
STRIT1	0	NA	NA	NA	NA	NA
RPS3AP32	0	NA	NA	NA	NA	NA
DDX50P2	0.621832242	-0.326440124	0.6874001	-0.474891005	0.634864663	NA
RPL23AP10	0.250495669	0.644381264	1.070237487	0.602091847	0.547113002	NA
0.5128	0	NA	NA	NA	NA	NA
0.5129	0	NA	NA	NA	NA	NA
ARGFXP1	0	NA	NA	NA	NA	NA
0.5131	0.372889163	1.51546053	1.025107074	1.478343646	0.139315821	NA
RPL21P42	0	NA	NA	NA	NA	NA
GPAA1P1	0	NA	NA	NA	NA	NA
RPL9P30	0	NA	NA	NA	NA	NA
RPS3AP22	0	NA	NA	NA	NA	NA
MTND4LP10	0	NA	NA	NA	NA	NA
0.5132	0.434684017	-0.828908004	1.366067032	-0.606784283	0.54399408	NA
BMS1P3	0	NA	NA	NA	NA	NA
0.5133	0.072068781	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
0.5134	0	NA	NA	NA	NA	NA
0.5135	0.367801	-1.227730048	1.021436301	-1.201964378	0.22937733	NA
0.5136	0.025099927	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL351P	0.493963734	-1.413994683	0.877807366	-1.610825721	0.107217713	NA
0.5137	0	NA	NA	NA	NA	NA
0.5138	0	NA	NA	NA	NA	NA
RN7SL146P	0.335127076	1.029487564	0.918623339	1.120685183	0.262421892	NA
0.5139	0	NA	NA	NA	NA	NA
NCOR1P1	0	NA	NA	NA	NA	NA
RN7SL303P	0	NA	NA	NA	NA	NA
RPS27P20	0	NA	NA	NA	NA	NA
FABP5P11	0.028156067	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RPL23AP75	0.017824758	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
KRT18P43	0	NA	NA	NA	NA	NA
0.514	0	NA	NA	NA	NA	NA
ETF1P2	0.207548655	0.162581834	1.559893579	0.104226234	0.916989815	NA
EEF1GP4	0	NA	NA	NA	NA	NA
RN7SL826P	0	NA	NA	NA	NA	NA
LINC02271	0	NA	NA	NA	NA	NA
COX6CP6	0	NA	NA	NA	NA	NA
0.5142	0	NA	NA	NA	NA	NA
RN7SL263P	0.21308778	0.631707625	1.584386287	0.398708087	0.690108309	NA
0.5143	0.213082496	-0.149579969	1.353493063	-0.110514027	0.912001726	NA
RPS7P7	0.077205715	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
RN7SL771P	0	NA	NA	NA	NA	NA
0.5144	0	NA	NA	NA	NA	NA
MAGI1-AS1	0.13206678	0.145710915	2.216025057	0.065753279	0.947574253	NA
RPL26P3	0	NA	NA	NA	NA	NA
RPL12P28	0	NA	NA	NA	NA	NA
RN7SL297P	0	NA	NA	NA	NA	NA
RN7SL633P	0	NA	NA	NA	NA	NA
RN7SL621P	0	NA	NA	NA	NA	NA
CYMP	0.024275908	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5145	0	NA	NA	NA	NA	NA
ARHGEF3-AS1	0.071725187	-0.326741485	2.963396966	-0.110259101	0.912203892	NA
RN7SL520P	0.075068614	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
0.5146	0	NA	NA	NA	NA	NA
RN7SL223P	0	NA	NA	NA	NA	NA
RN7SL567P	0	NA	NA	NA	NA	NA
RN7SL865P	0	NA	NA	NA	NA	NA
0.5148	0.068820371	-0.326741485	2.963396966	-0.110259101	0.912203892	NA
PPP1R35-AS1	0.567124063	-0.100760518	0.736051841	-0.136893235	0.891115186	NA
TRBV25OR9-2	0	NA	NA	NA	NA	NA
0.515	0.098827477	-0.638900106	2.963396966	-0.215597206	0.829301734	NA
RPS27P29	0.321288655	-0.860466252	0.928442857	-0.926784287	0.354038545	NA
RN7SL587P	0.245901517	-0.141143988	1.090894931	-0.129383668	0.89705407	NA
RN7SL794P	0	NA	NA	NA	NA	NA
HNRNPA1P23	0.028621941	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
0.5151	0	NA	NA	NA	NA	NA
0.5152	0.073363401	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
0.5154	0	NA	NA	NA	NA	NA
GAPDHP33	0.058850232	0.137278438	2.963396966	0.046324687	0.963051463	NA
RPL32P8	0	NA	NA	NA	NA	NA
DEFA1B	0	NA	NA	NA	NA	NA
FAR2P3	0.721390544	-1.306547561	0.830574588	-1.573064696	0.115703839	NA
B4GALT4-AS1	0.183494956	-0.622040327	1.355363723	-0.458947157	0.646272114	NA
PSMC1P6	0	NA	NA	NA	NA	NA
0.5155	0	NA	NA	NA	NA	NA
MOXD2P	0.133246649	-0.006150895	2.232969212	-0.002754581	0.997802165	NA
RPL12P37	0	NA	NA	NA	NA	NA
0.5156	0	NA	NA	NA	NA	NA
TCAM1P	0.53831958	1.212609638	1.28786544	0.941565477	0.346415152	NA
0.5157	0	NA	NA	NA	NA	NA
MEAF6P1	0	NA	NA	NA	NA	NA
RN7SKP241	0	NA	NA	NA	NA	NA
0.5159	0.061446151	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
RPL36AP40	0	NA	NA	NA	NA	NA
RN7SL187P	0.019573344	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL717P	0.024306342	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
0.516	0.049437471	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
RN7SL100P	0.021534105	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
MTCO1P6	0	NA	NA	NA	NA	NA
0.5161	0.051531736	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL764P	0	NA	NA	NA	NA	NA
RPS29P27	0	NA	NA	NA	NA	NA
RN7SL481P	0.679864539	-0.07579579	0.807796044	-0.093830355	0.925243918	NA
RN7SL93P	0	NA	NA	NA	NA	NA
0.5162	0	NA	NA	NA	NA	NA
0.5163	0.53298761	-0.090886982	0.938098612	-0.096884251	0.922818316	NA
RN7SL35P	0	NA	NA	NA	NA	NA
SOCAR	0.113372939	0.306009391	2.288372127	0.133723614	0.893621132	NA
0.5164	0	NA	NA	NA	NA	NA
0.5165	0	NA	NA	NA	NA	NA
UBL5P3	0	NA	NA	NA	NA	NA
OR4G11P	0	NA	NA	NA	NA	NA
RPL31P59	0	NA	NA	NA	NA	NA
RPL36AP45	0.157148251	-0.470176945	1.572370823	-0.299024212	0.764921572	NA
RPS4XP13	0.149242188	0.154145301	1.582967978	0.097377397	0.922426694	NA
SEC62-AS1	0.449759053	-0.083696605	0.84110829	-0.099507526	0.920735312	NA
RN7SL503P	0.031178838	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
VPS26AP1	0.852572174	0.099895601	0.651686032	0.153287928	0.87817122	NA
RPS29P20	0	NA	NA	NA	NA	NA
LCE1F	0	NA	NA	NA	NA	NA
0.5167	0.034534455	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RPL9P3	0.137560107	-0.006152533	1.857357794	-0.003312519	0.997356997	NA
0.5168	0	NA	NA	NA	NA	NA
0.5169	1.094972416	0.104947345	0.529540913	0.198185528	0.84289991	NA
0.5171	0	NA	NA	NA	NA	NA
SAMMSON	0.287453542	0.472560544	1.119315338	0.422187142	0.672888426	NA
MTATP8P1	0.985258422	-0.781997989	0.628141112	-1.244939989	0.21315381	NA
RPL5P16	0	NA	NA	NA	NA	NA
RPL5P15	0	NA	NA	NA	NA	NA
CYCSP20	0	NA	NA	NA	NA	NA
0.5172	0.082014136	-0.326741711	2.938679929	-0.11118656	0.911468409	NA
0.5173	0.024275908	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
LINC00636	0.198336028	-0.622037814	1.805909201	-0.344445786	0.730511061	NA
0.5174	0	NA	NA	NA	NA	NA
0.5175	0	NA	NA	NA	NA	NA
RPS26P34	0.017824758	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
KRTAP13-3	0	NA	NA	NA	NA	NA
RPS12P27	0.125459793	0.154146217	1.901885642	0.081049151	0.935402864	NA
RPL35AP14	0.163484669	-0.158014752	1.833557375	-0.086179333	0.931323859	NA
OFD1P5Y	0	NA	NA	NA	NA	NA
RN7SL91P	0	NA	NA	NA	NA	NA
0.5176	0.214286437	-0.301442209	1.387100054	-0.217318288	0.827960306	NA
0.5177	0.167188237	-0.461741834	1.225373829	-0.376817118	0.706309519	NA
RPS10P20	0	NA	NA	NA	NA	NA
CSPG4P1Y	0	NA	NA	NA	NA	NA
MTCO1P29	0.025641905	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RPL39P26	0.024940685	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL472P	0.029967582	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5178	0	NA	NA	NA	NA	NA
0.5179	0	NA	NA	NA	NA	NA
RPS19P3	0.851934644	-0.509497861	0.603935284	-0.843629896	0.398876253	NA
RN7SL346P	0.051649077	-0.487038803	2.963396966	-0.164351523	0.869454424	NA
RN7SL116P	0.028156067	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
LINC00973	0.142513116	0.618169993	2.709395508	0.228157902	0.819523488	NA
0.518	0.521496648	0.614965149	0.959921928	0.640640797	0.521756087	NA
0.5181	0	NA	NA	NA	NA	NA
RPL29P2	0.021534105	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL38P	0	NA	NA	NA	NA	NA
0.5182	0	NA	NA	NA	NA	NA
RPL23AP54	0	NA	NA	NA	NA	NA
FAM214BP1	0.305243537	-0.931922524	1.213308775	-0.768083561	0.442437543	NA
RN7SL277P	0.071202238	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
RPS12P28	0	NA	NA	NA	NA	NA
0.5183	0.126455078	-0.478609263	2.231588859	-0.214470179	0.830180419	NA
0.5184	0.776123464	0.454421721	0.687765599	0.660721794	0.508790744	NA
RN7SL837P	0	NA	NA	NA	NA	NA
MED28P2	0	NA	NA	NA	NA	NA
0.5185	0	NA	NA	NA	NA	NA
0.5186	0.051531736	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5187	0	NA	NA	NA	NA	NA
0.5188	0.067892762	-0.174880183	2.963396966	-0.059013418	0.952941421	NA
RPL21P123	0.294207654	-0.141143334	1.349263658	-0.104607675	0.916687124	NA
RN7SL69P	0	NA	NA	NA	NA	NA
RPL34P17	0.024306342	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
0.519	0.862634678	-0.800503763	0.672222054	-1.190832343	0.233719409	NA
RPL3P9	0.074743634	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
KRTAP9-1	0	NA	NA	NA	NA	NA
RN7SL492P	0	NA	NA	NA	NA	NA
THOC7-AS1	0.43949536	-0.984225892	0.879410138	-1.119188704	0.263059644	NA
0.5191	0.092089606	0.145711452	2.345012574	0.062136747	0.950453934	NA
RPL7AP58	0.019573344	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5192	0	NA	NA	NA	NA	NA
0.5193	0	NA	NA	NA	NA	NA
LINC02067	0.041107449	-0.487038803	2.963396966	-0.164351523	0.869454424	NA
0.5194	0	NA	NA	NA	NA	NA
0.5195	1.075285766	-0.262161968	0.635340834	-0.412632015	0.679876242	NA
0.5196	0	NA	NA	NA	NA	NA
0.5197	0	NA	NA	NA	NA	NA
RN7SL445P	0.085452324	-0.638900106	2.963396966	-0.215597206	0.829301734	NA
TRBV22-1	0.028156067	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
0.5198	0.029967582	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL547P	0	NA	NA	NA	NA	NA
RN7SL258P	0.056023866	-0.014582864	2.963396966	-0.004920996	0.996073629	NA
RPSAP48	0.034534455	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
0.5199	0.386801035	0.753968919	0.847690767	0.889438635	0.373767389	NA
KCNAB1-AS2	0.048897121	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RPL9P15	0	NA	NA	NA	NA	NA
RN7SL564P	0	NA	NA	NA	NA	NA
0.52	0	NA	NA	NA	NA	NA
RN7SL98P	0	NA	NA	NA	NA	NA
OR2AO1P	0.016361026	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RPL7P15	0.094192823	-0.638900106	2.963396966	-0.215597206	0.829301734	NA
0.5201	0	NA	NA	NA	NA	NA
RN7SL403P	0.182765072	0.154145195	1.54183762	0.099974987	0.920364184	NA
RN7SL150P	0	NA	NA	NA	NA	NA
0.5202	0.019573344	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RPL30P12	0	NA	NA	NA	NA	NA
SPATA31D5P	0	NA	NA	NA	NA	NA
0.5203	0.192698595	-0.149580395	1.205718957	-0.124059089	0.90126849	NA
RN7SL808P	0	NA	NA	NA	NA	NA
RN7SL666P	0	NA	NA	NA	NA	NA
RN7SL580P	0.026940191	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
RN7SL305P	0	NA	NA	NA	NA	NA
SEPTIN7P4	0	NA	NA	NA	NA	NA
0.5204	0.044628752	-0.487038803	2.963396966	-0.164351523	0.869454424	NA
0.5205	0.80672994	1.764821042	0.741671332	2.379519022	0.017335248	NA
RN7SL310P	0	NA	NA	NA	NA	NA
LSP1P2	0.130839091	-0.63047389	1.87052879	-0.337056502	0.736074307	NA
MME-AS1	0	NA	NA	NA	NA	NA
NBPF18P	0	NA	NA	NA	NA	NA
0.5206	0.052431974	-0.487038803	2.963396966	-0.164351523	0.869454424	NA
0.5207	0	NA	NA	NA	NA	NA
0.5208	0.234201138	0.650446161	1.20202518	0.541125238	0.588421264	NA
MYL6P4	0	NA	NA	NA	NA	NA
H4P1	0.018633711	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
0.5209	0.113413678	0.145711135	2.269807376	0.064195375	0.94881466	NA
RN7SL538P	0	NA	NA	NA	NA	NA
RPS2P39	0	NA	NA	NA	NA	NA
KLF7P1	0.028156067	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
LINC01168	0.356318662	0.341368274	1.402134369	0.24346331	0.807646504	NA
LINC02030	0.024940685	-0.335177501	2.963396966	-0.113105839	0.909946646	NA
RN7SL860P	0	NA	NA	NA	NA	NA
RN7SL851P	0.144440593	-0.006152583	1.844642038	-0.003335381	0.997338756	NA
LRRD1	0.159909927	0.154145265	1.568813025	0.098255982	0.92172903	NA
RPS4XP15	0	NA	NA	NA	NA	NA
RN7SL382P	0	NA	NA	NA	NA	NA
RPS12P15	0	NA	NA	NA	NA	NA
0.5212	0.170855179	-1.218793601	1.841355716	-0.661900137	0.508035224	NA
RN7SL502P	0	NA	NA	NA	NA	NA
0.5214	0.272265711	1.578286791	2.580902145	0.611525235	0.540851917	NA
0.5215	0	NA	NA	NA	NA	NA
RN7SL559P	0.276904518	-1.368404623	1.065590757	-1.284174637	0.199080857	NA
0.5216	0.190816746	-0.149579234	1.576161822	-0.094900937	0.924393512	NA
0.5217	0.024306342	-0.023018881	2.963396966	-0.007767734	0.993802307	NA
ERLEC1P1	0	NA	NA	NA	NA	NA
0.5218	0.145561463	0.154145315	1.588124532	0.097061226	0.922677772	NA
RPS27P21	0.340593094	0.505314323	1.030758336	0.490235495	0.623967267	NA
RPL31P56	0	NA	NA	NA	NA	NA
